ID,Unnamed: 0,Rank,Name,OVR,PAC,SHO,PAS,DRI,DEF,PHY,Acceleration,Sprint Speed,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,Free Kick Accuracy,Short Passing,Long Passing,Curve,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Interceptions,Heading Accuracy,Def Awareness,Standing Tackle,Sliding Tackle,Jumping,Stamina,Strength,Aggression,Position,Weak foot,Skill moves,Preferred foot,Height,Weight,Alternative positions,Age,Nation,League,Team,play style,url,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes
231866,0,1,Rodrigo Hernández Cascante,97,88,88,90,88,97,90,87,88,84,81,99,99,80,80,90,80,67,97,95,90,88,71,70,97,94,98,95,92,99,98,92,88,96,88,90,CDM,5,4,Right,"191cm / 6'3""",82kg / 181lb,CM,28,Spain,Premier League,Manchester City,"Anticipate+, Power Shot, Incisive Pass, Pinged Pass, Long Ball Pass, Tiki Taka, Bruiser, Technical, Press Proven, Relentless, Aerial",https://www.futbin.com/25/player/55805/rodrigo-hernandez-cascante,,,,,
241667,1,2,Aitana Bonmatí Conca,97,90,92,92,97,82,82,90,90,97,97,85,95,75,75,96,80,82,97,96,83,98,99,92,97,97,91,94,58,80,86,71,82,90,82,70,CM,5,4,Right,"162cm / 5'4""",53kg / 117lb,CAM,27,Spain,Liga F,FC Barcelona,"Technical+, Finesse Shot, Incisive Pass, Pinged Pass, Long Ball Pass, Tiki Taka, Whipped Pass, First Touch, Relentless",https://www.futbin.com/25/player/55806/aitana-bonmati-conca,,,,,
227102,2,3,Caroline Graham Hansen,97,96,95,95,97,58,86,97,96,96,95,96,97,92,86,97,97,83,96,92,99,98,99,88,90,97,92,43,87,56,62,57,95,98,84,75,RW,5,5,Right,"175cm / 5'9""",59kg / 130lb,RM,30,Norway,Liga F,FC Barcelona,"Rapid+, Trickster+, Trivela+, Finesse Shot, Whipped Pass, Technical, Flair, First Touch, Quick Step",https://www.futbin.com/25/player/56762/caroline-graham-hansen,,,,,
238794,3,4,Vinícius José de Oliveira Júnior,97,99,91,90,98,38,78,99,99,95,95,88,90,80,77,93,90,70,92,88,88,98,98,95,95,98,95,34,66,42,33,24,84,95,74,66,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,"LM, ST",24,Brazil,LALIGA EA SPORTS,Real Madrid,"Finesse Shot+, Technical+, Quick Step+, Chip Shot, Whipped Pass, Rapid, Flair, First Touch, Trickster, Trivela",https://www.futbin.com/25/player/56763/vinicius-jose-de-oliveira-junior,,,,,
264012,4,5,Sophia Wilson,97,98,95,87,98,54,93,97,98,96,97,95,91,91,86,82,81,80,97,83,82,99,93,92,97,99,90,52,90,48,50,47,96,97,95,80,ST,5,4,Right,"164cm / 5'5""",58kg / 128lb,"RW, LW",24,United States,NWSL,Portland Timbers-Thorns,"Power Shot+, First Touch+, Quick Step+, Finesse Shot, Technical, Rapid, Flair, Trickster",https://www.futbin.com/25/player/56764/sophia-wilson,,,,,
231866,5,6,Rodrigo Hernández Cascante,97,89,86,94,91,97,92,89,89,82,80,97,95,76,67,97,87,70,98,98,95,91,85,85,96,93,97,95,92,99,98,92,90,98,90,92,CDM,5,4,Right,"191cm / 6'3""",82kg / 181lb,CM,28,Spain,Premier League,Manchester City,"Pinged Pass+, Tiki Taka+, Bruiser+, Power Shot, Incisive Pass, Long Ball Pass, Anticipate, Press Proven, Aerial",https://www.futbin.com/25/player/56772/rodrigo-hernandez-cascante,,,,,
252371,6,7,Jude Bellingham,97,90,95,92,97,87,91,91,90,97,98,95,95,85,85,97,80,75,97,97,85,98,92,92,98,97,97,90,85,86,86,86,93,98,86,94,CAM,5,4,Right,"186cm / 6'1""",75kg / 165lb,CM,21,England,LALIGA EA SPORTS,Real Madrid,"Power Shot+, Incisive Pass+, Relentless+, Pinged Pass, Intercept, Slide Tackle, Technical, Flair",https://www.futbin.com/25/player/56776/jude-bellingham,,,,,
241667,7,8,Aitana Bonmatí Conca,97,90,92,95,97,85,84,91,90,97,97,87,95,75,75,98,85,86,99,99,86,98,99,92,97,97,91,95,61,86,89,76,84,92,84,72,CM,5,4,Right,"162cm / 5'4""",53kg / 117lb,CAM,27,Spain,Liga F,FC Barcelona,"Finesse Shot+, Technical+, Tiki Taka+, Incisive Pass, Pinged Pass, Intercept, First Touch, Relentless",https://www.futbin.com/25/player/56777/aitana-bonmati-conca,,,,,
237067,8,9,Edson Arantes Nascimento,97,95,97,93,96,61,82,95,95,97,99,95,94,96,93,97,91,89,96,88,89,96,94,93,98,97,98,68,97,57,53,51,94,90,82,71,CAM,4,5,Right,"173cm / 5'8""",70kg / 154lb,ST,,Brazil,Icons,EA FC ICONS,"Technical+, Tiki Taka+, Low Driven Shot+, Finesse Shot, Power Shot, Incisive Pass, Long Ball Pass, First Touch, Trickster, Quick Step, Relentless",https://www.futbin.com/25/player/59426/edson-arantes-nascimento,,,,,
1397,9,10,Zinedine Zidane,96,86,92,96,96,76,86,87,85,92,91,91,94,93,91,98,94,92,98,97,89,98,83,87,96,98,98,86,89,66,79,68,75,88,88,79,CAM,5,5,Right,185cm / 6'0',77kg / 170lb,CM,,France,Icons,EA FC ICONS,"Incisive Pass+, Finesse Shot, Long Ball Pass, First Touch, Flair, Technical, Trivela",https://www.futbin.com/25/player/56105/zinedine-zidane,,,,,
237067,10,11,Edson Arantes Nascimento,96,94,95,92,95,60,80,94,94,96,97,94,93,95,92,96,90,88,95,87,88,95,93,92,97,96,97,67,95,56,52,50,88,87,80,70,CAM,4,5,Right,173cm / 5'8',70kg / 154lb,ST,,Brazil,Icons,EA FC ICONS,"Technical+, Quick Step+, Finesse Shot, Power Shot, Incisive Pass, Long Ball Pass, First Touch, Trickster, Relentless",https://www.futbin.com/25/player/56755/edson-arantes-nascimento,,,,,
209331,11,12,Mohamed Salah,96,96,94,91,96,57,84,97,96,96,96,92,92,91,90,93,90,78,94,88,92,96,96,96,98,94,96,70,76,47,55,52,87,96,81,75,RW,4,5,Left,175cm / 5'8',72kg / 159lb,"RM, ST",32,Egypt,Premier League,Liverpool,"Finesse Shot+, Rapid+, Trickster+, Chip Shot, Flair, First Touch, Trivela",https://www.futbin.com/25/player/56765/mohamed-salah,,,,,
231747,12,13,Kylian Mbappé,96,99,95,86,97,43,85,99,99,97,98,94,90,89,88,88,85,74,91,80,85,98,97,90,97,97,93,45,87,31,41,38,95,95,84,70,ST,4,5,Right,"182cm / 6'0""",75kg / 165lb,LW,26,France,LALIGA EA SPORTS,Real Madrid,"Rapid+, Power Shot+, Trivela+, Finesse Shot, Chip Shot, Flair, Trickster, Quick Step, Acrobatic",https://www.futbin.com/25/player/56766/kylian-mbappe,,,,,
265249,13,14,Lauren James,96,98,91,90,97,51,93,98,98,92,92,95,90,80,79,91,99,82,87,87,91,99,92,90,92,99,90,51,84,38,55,48,96,90,99,82,RW,4,5,Right,"175cm / 5'9""",77kg / 170lb,"RM, CAM",23,England,Barclays WSL,Chelsea,"Technical+, Trickster+, Press Proven+, Long Ball Pass, Whipped Pass, Rapid, Flair, First Touch, Quick Step",https://www.futbin.com/25/player/56767/lauren-james,,,,,
227323,14,15,Guro Reiten,96,96,91,94,94,70,75,96,96,97,93,92,92,70,78,95,99,88,93,91,85,92,99,97,96,93,96,76,58,70,70,65,80,97,67,68,LM,5,4,Left,"167cm / 5'6""",60kg / 132lb,"CAM, LW",30,Norway,Barclays WSL,Chelsea,"Finesse Shot+, Pinged Pass+, Trivela+, Dead Ball, Incisive Pass, Whipped Pass, Rapid, Quick Step, Relentless",https://www.futbin.com/25/player/56778/guro-reiten,,,,,
227203,15,16,Alexia Putellas Segura,96,88,95,96,97,80,86,87,88,95,96,92,94,95,95,96,94,95,96,96,95,96,95,94,96,98,98,86,82,67,90,70,91,91,87,75,CM,5,5,Left,"173cm / 5'8""",69kg / 152lb,CAM,31,Spain,Liga F,FC Barcelona,"Finesse Shot+, First Touch+, Incisive Pass+, Pinged Pass, Tiki Taka, Intercept, Technical, Flair",https://www.futbin.com/25/player/56780/alexia-putellas-segura,,,,,
203376,16,17,Virgil van Dijk,96,87,67,80,78,96,95,83,91,52,58,90,71,50,69,80,60,78,88,95,70,75,70,70,93,82,95,95,94,97,98,95,96,85,99,97,CB,3,3,Right,"193cm / 6'4""",92kg / 203lb,,33,Netherlands,Premier League,Liverpool,"Block+, Aerial+, Intercept+, Power Header, Pinged Pass, Long Ball Pass, Jockey, Anticipate, Bruiser",https://www.futbin.com/25/player/56783/virgil-van-dijk,,,,,
190045,17,18,Johan Cruyff,96,93,94,93,96,45,78,94,92,96,96,88,93,96,90,96,88,86,95,90,95,96,94,86,96,97,95,46,67,45,37,41,70,85,76,74,CAM,5,5,Right,"180cm / 5'11""",71kg / 157lb,ST,,Netherlands,Icons,EA FC ICONS,"Finesse Shot+, First Touch+, Chip Shot, Incisive Pass, Tiki Taka, Flair, Trickster, Trivela",https://www.futbin.com/25/player/57173/johan-cruyff,,,,,
190042,18,19,Diego Maradona,96,92,92,92,97,42,80,94,90,93,95,87,92,88,94,96,90,94,91,90,96,98,91,96,94,97,96,46,70,30,42,40,84,81,80,80,CAM,5,5,Left,165cm / 5'4',70kg / 154lb,ST,,Argentina,Icons,EA FC ICONS,"Finesse Shot+, Technical+, Dead Ball, Incisive Pass, Pinged Pass, Tiki Taka, Flair, First Touch, Quick Step, Relentless",https://www.futbin.com/25/player/57524/diego-maradona,,,,,
37576,19,20,Ronaldo Luís Nazário de Lima,96,96,96,81,96,45,80,97,96,97,99,95,90,97,90,82,74,90,86,75,87,98,91,90,96,96,91,42,88,38,42,37,84,86,88,53,ST,5,5,Right,183cm / 6'0',78kg / 172lb,,,Brazil,Icons,EA FC ICONS,"Finesse Shot+, Rapid+, Low Driven Shot+, Tiki Taka, Technical, First Touch, Trickster, Press Proven, Quick Step",https://www.futbin.com/25/player/59322/ronaldo-luis-nazario-de-lima,,,,,
168473,20,21,Franz Beckenbauer,96,87,77,93,88,97,90,88,86,78,74,78,83,72,70,94,80,86,99,98,81,83,87,84,95,94,92,98,93,98,96,94,99,94,88,86,CB,4,3,Right,181cm / 5'11',75kg / 165lb,"CDM, CM",,Germany,Icons,EA FC ICONS,"Long Ball Pass+, Jockey+, Anticipate+, Incisive Pass, Pinged Pass, Block, Intercept, Bruiser, Technical, Trivela, Aerial",https://www.futbin.com/25/player/59324/beckenbauer,,,,,
275243,21,22,Mia Hamm,96,95,96,90,94,58,84,96,94,96,96,97,95,92,91,90,81,94,94,90,89,95,90,92,96,94,92,58,90,48,58,55,86,93,85,71,ST,5,5,Right,"165cm / 5'5""",57kg / 126lb,"CAM, RW",,United States,Icons,EA FC ICONS,"Power Shot+, Press Proven+, Quick Step+, Finesse Shot, Chip Shot, Power Header, Incisive Pass, Rapid, Flair, First Touch, Relentless",https://www.futbin.com/25/player/59428/mia-hamm,,,,,
242519,22,23,Eusébio da Silva Ferreira,96,95,96,90,96,50,84,94,95,97,96,96,97,96,96,91,90,91,90,87,87,99,97,95,97,92,97,44,98,47,44,39,93,95,80,80,ST,5,4,Right,"175cm / 5'9""",76kg / 168lb,,,Portugal,Icons,EA FC ICONS,"Finesse Shot+, Rapid+, Trivela+, Chip Shot, Power Shot, Tiki Taka, Quick Step, Relentless, Low Driven Shot",https://www.futbin.com/25/player/59429/eusebio-da-silva-ferreira,,,,,
156616,23,24,Franck Ribéry,96,96,92,94,97,53,80,97,95,92,92,90,96,95,89,96,92,93,96,92,92,97,96,95,93,98,92,52,66,54,50,44,62,96,76,75,LM,5,5,Right,"170cm / 5'7""",72kg / 159lb,"CAM, LW",,France,Icons,EA FC ICONS,"Finesse Shot+, Technical+, Quick Step+, Relentless+, Chip Shot, Dead Ball, Incisive Pass, Tiki Taka, Whipped Pass, Flair, Trickster, Trivela",https://www.futbin.com/25/player/59491/franck-ribery,,,,,
237067,24,25,Edson Arantes Nascimento,95,93,94,91,94,58,74,93,93,95,96,93,92,94,91,95,88,87,94,86,87,94,92,91,96,95,96,65,92,54,50,47,86,85,74,57,CAM,4,5,Right,"173cm / 5'8""",70kg / 154lb,ST,,Brazil,Icons,EA FC ICONS,"Technical+, Finesse Shot, Power Shot, Incisive Pass, Trickster, Quick Step",https://www.futbin.com/25/player/54471/edson-arantes-nascimento,,,,,
239818,25,26,Rúben Santos Gato Alves Dias,95,91,44,75,75,95,90,88,93,44,33,83,29,36,51,69,58,51,91,87,49,70,67,61,97,82,93,93,93,96,96,93,91,81,93,91,CB,4,2,Right,"187cm / 6'2""",82kg / 181lb,,27,Portugal,Premier League,Manchester City,"Bruiser+, Power Header, Long Ball Pass, Jockey, Block, Intercept, Anticipate, Slide Tackle",https://www.futbin.com/25/player/55807/ruben-santos-gato-alves-dias,,,,,
231747,26,27,Kylian Mbappé,95,98,93,89,94,42,81,98,98,96,97,93,86,87,87,91,85,75,95,80,88,95,95,84,95,94,90,44,85,30,40,37,91,91,80,67,ST,4,5,Right,182cm / 5'11',75kg / 165lb,LW,26,France,LALIGA EA SPORTS,Real Madrid,"Quick Step+, Finesse Shot, Chip Shot, Rapid, Flair, Trivela, Acrobatic",https://www.futbin.com/25/player/55808/kylian-mbappe,,,,,
252371,27,28,Jude Bellingham,95,91,92,95,93,86,87,92,91,96,95,90,91,81,82,98,85,88,98,98,90,94,87,83,96,94,92,90,83,85,87,85,88,97,81,89,CAM,5,4,Right,"186cm / 6'1""",75kg / 165lb,CM,21,England,LALIGA EA SPORTS,Real Madrid,"Pinged Pass+, Long Ball Pass, Whipped Pass, Intercept, Slide Tackle, Technical, Flair, Press Proven, Relentless",https://www.futbin.com/25/player/55809/jude-bellingham,,,,,
238794,28,29,Vinícius José de Oliveira Júnior,95,97,90,89,95,40,75,97,97,93,95,87,89,78,76,93,90,68,91,85,87,97,98,88,90,94,87,36,69,44,34,25,80,91,71,63,LW,4,5,Right,"176cm / 5'9""",73kg / 161lb,"LM, ST",24,Brazil,LALIGA EA SPORTS,Real Madrid,"Rapid+, Finesse Shot, Chip Shot, Flair, First Touch, Trickster, Quick Step, Trivela",https://www.futbin.com/25/player/55810/vinicius-jose-de-oliveira-junior,,,,,
